Mgg [GeV],Nevents,sigma,hypothesis,generating_function
170.0,21701,147.31259280862582,21720.598547127112,21769.182263855884
190.0,13680,116.96153213770756,13639.865851190834,13667.202634146628
210.0,8898,94.32921074619463,8937.191381649105,8955.635445820933
230.0,6080,77.9743547584717,6064.674702211695,6078.8864508108345
250.0,4147,64.39720490828775,4238.243447900029,4250.075995357794
270.0,3117,55.83009940883144,3037.0016473853266,3047.241913270261
290.0,2278,47.7283982551269,2223.772220447369,2232.7905462588983
310.0,1619,40.23679907746142,1659.2790299275807,1667.2790457202896
330.0,1292,35.94440151122286,1258.7816099271265,1265.8978945410722
350.0,971,31.160872901765767,969.1040771205013,975.4404111533063
370.0,745,27.294688127912362,755.9602463882234,761.6044404450639
390.0,627,25.03996805109783,596.7058125836817,601.7353595000071
410.0,464,21.540659228538015,476.06124451304737,480.54541932388577
430.0,387,19.672315572906,383.51605600826866,387.51601409410546
450.0,299,17.291616465790582,311.71346493213144,315.27587735062747
470.0,279,16.703293088490067,255.4221734916624,258.53874468404905
490.0,213,14.594519519326424,210.86833099609134,213.30727486355872
510.0,177,13.30413469565007,175.29334164989993,176.14502008195882
530.0,167,12.922847983320086,146.65613370560678,143.68661934172405
550.0,110,10.488088481701515,123.4295339556296,113.22076890747915
570.0,87,9.327379053088816,104.45898079882757,84.75823531945247
590.0,56,7.483314773547883,88.86317591941726,62.260587057734256
610.0,50,7.0710678118654755,75.96335695621632,50.580492533410094
630.0,67,8.18535277187245,65.23236365856437,50.05153460321393
650.0,45,6.708203932499369,56.25756290708875,55.44170219081909
670.0,62,7.874007874011811,48.71358990241533,60.41941522959803
690.0,67,8.18535277187245,42.34211751563361,61.494863368504596
710.0,62,7.874007874011811,36.93670880333092,58.141362966609826
730.0,68,8.246211251235321,32.33138105608109,51.388723424114715
750.0,57,7.54983443527075,28.391904216463637,42.94649569738743
770.0,47,6.855654600401044,25.009130832614655,34.61561366066418
790.0,31,5.5677643628300215,22.093847443206663,27.66117091179334
810.0,14,3.7416573867739413,19.572773997036208,22.49797057106856
830.0,19,4.358898943540674,17.38543576347475,18.879720605215315
850.0,17,4.123105625617661,15.481702836288843,16.317109083877234
870.0,8,2.8284271247461903,13.819843754722744,14.385594530969446
890.0,14,3.7416573867739413,12.364977484782491,12.821924639806639
910.0,12,3.4641016151377544,11.087835876167139,11.492307770974957
930.0,9,3.0,9.9637694516398,10.333668134558321
950.0,14,3.7416573867739413,8.97194492388425,9.313473028831062
970.0,5,2.23606797749979,8.094694549820767,8.410959467122304
990.0,5,2.23606797749979,7.316986318765207,7.610270902745292
1010.0,6,2.449489742783178,6.625990751091981,6.898263491837955
1030.0,7,2.6457513110645907,6.010725286360495,6.263750574617752
1050.0,6,2.449489742783178,5.461761252866796,5.697132964531248
1070.0,6,2.449489742783178,4.9709815221159985,5.190142717690842
1090.0,5,2.23606797749979,4.53137937621589,4.735638395445919
1110.0,6,2.449489742783178,4.136891014339909,4.327435560117519
1130.0,5,2.23606797749979,3.78225561726159,3.9601652087052805
1150.0,2,1.4142135623730951,3.4628980682275623,3.6291550778756303
1170.0,3,1.7320508075688772,3.1748303639281574,3.3303298144960807
1190.0,5,2.23606797749979,2.914568494468086,3.060126766597693
1210.0,3,1.7320508075688772,2.6790621671005685,2.8154247496656892
1230.0,1,1.0,2.4656352267865365,2.5934836242611543
1250.0,4,2.0,2.2719350119795654,2.391892908663247
1270.0,3,1.7320508075688772,2.0958891955847996,2.208527963775625
1290.0,4,2.0,1.9356689137916183,2.041512542011824
1310.0,1,1.0,1.7896571912112003,1.8891866990805428
1330.0,1,1.0,1.656421838746477,1.7500792368545515
1350.0,1,1.0,1.5346921382315744,1.622883984205117
1370.0,1,1.0,1.4233387409364262,1.5064393366791784
1390.0,1,1.0,1.3213563001914261,1.399710569862866
1410.0,1,1.0,1.2278484353670804,1.3017745189512366
1430.0,2,1.4142135623730951,1.1420146882289697,1.2118062814307686
1450.0,1,1.0,1.0631391856820924,1.1290676532950388
1470.0,0,,0.9905807670607393,1.0528970538060503
1490.0,1,1.0,0.923764370981339,0.982700731065605
1510.0,1,1.0,0.8621735076329947,0.917945071856949
1530.0,1,1.0,0.8053436682727926,0.8581498654038342
1550.0,2,1.4142135623730951,0.7528565454697952,0.802882392727195
1570.0,1,1.0,0.7043349559984186,0.7517522318596415
1590.0,2,1.4142135623730951,0.6594383737896883,0.7044066848805646
1610.0,1,1.0,0.6178589934778639,0.6605267460337079
1630.0,1,1.0,0.5793182562182028,0.6198235414761324
1650.0,2,1.4142135623730951,0.5435637789203237,0.5820351808064236
1670.0,0,,0.5103666361067244,0.5469239686992736
1690.0,4,2.0,0.47951895048906745,0.5142739319568322
