Mgg [GeV],Nevents,sigma,hypothesis,generating_function
170.0,21465,146.50938536489735,21564.856435800288,21769.182263855884
190.0,13487,116.13354381917397,13526.598974485916,13667.20263414678
210.0,9048,95.12097560475291,8876.67062142398,8955.63544614136
230.0,6005,77.4919350642375,6045.091199319504,6078.886647165826
250.0,4234,65.06919393998976,4246.160309356343,4250.110981183227
270.0,3078,55.47972602672079,3061.88184485778,3049.0544094328834
290.0,2242,47.34976240700686,2258.248035742704,2260.092696890977
310.0,1799,42.41462012089699,1698.4705315627866,1786.8570808116656
330.0,1414,37.603191353926334,1299.568986003769,1418.1771549649352
350.0,1050,32.4037034920393,1009.5573599910513,1031.825581495415
370.0,734,27.09243436828813,794.934557256154,767.6749318227317
390.0,602,24.535688292770594,633.5660195404123,601.9253937390635
410.0,506,22.494443758403985,510.4984605188905,480.54725501863436
430.0,395,19.87460691435179,415.42667228278833,387.5174203161273
450.0,289,17.0,341.1199548411371,315.2904013661653
470.0,261,16.15549442140351,282.42154655378704,258.6561856386973
490.0,202,14.212670403551895,235.59881508566315,214.03653279814714
510.0,182,13.490737563232042,197.9130589941144,179.5489269933961
530.0,151,12.288205727444508,167.32965782328841,155.39082027511094
550.0,148,12.165525060596439,142.31961505526976,142.41990388781
570.0,134,11.575836902790225,121.72164904194331,137.10052439370506
590.0,133,11.532562594670797,104.64503908271475,129.25501832836886
610.0,104,10.198039027185569,90.4003096463287,111.14872295360358
630.0,105,10.246950765959598,78.4491902896199,86.85341219251535
650.0,68,8.246211251235321,68.36809250246178,65.92524684902868
670.0,64,8.0,59.82117773740387,52.27689613177743
690.0,47,6.855654600401044,52.54030654412459,43.898464271675806
710.0,37,6.082762530298219,46.30997577762834,38.117153921984766
730.0,33,5.744562646538029,40.95590688799897,33.78014008821281
750.0,29,5.385164807134504,36.33633116728026,30.820251433703255
770.0,36,6.0,32.33528437616511,29.60273959500756
790.0,24,4.898979485566356,28.85741067378001,30.41583447859041
810.0,33,5.744562646538029,25.82390896658762,32.88728806898427
830.0,29,5.385164807134504,23.169350286080427,35.621382757153164
850.0,33,5.744562646538029,20.839163871857146,36.62183691750643
870.0,32,5.656854249492381,18.787640006443414,34.480550919596936
890.0,34,5.830951894845301,16.976334672918778,29.37889658619882
910.0,16,4.0,15.372788526339992,22.927204739137093
930.0,24,4.898979485566356,13.949493122029518,17.007949047329603
950.0,10,3.1622776601683795,12.683052702688627,12.723454817573229
970.0,9,3.0,11.553501455377917,10.20599231469527
990.0,5,2.23606797749979,10.54374497869544,9.07686704590111
1010.0,3,1.7320508075688772,9.639101455480182,8.925420841261342
1030.0,14,3.7416573867739413,8.826923223769414,9.475583046728799
1050.0,14,3.7416573867739413,8.096283459476439,10.50818071030643
1070.0,14,3.7416573867739413,7.437715810957351,11.739197708461745
1090.0,12,3.4641016151377544,6.842997269281103,12.788098183327175
1110.0,13,3.605551275463989,6.304966477015814,13.263949584241761
1130.0,10,3.1622776601683795,5.81737119230804,12.913226620657362
1150.0,16,4.0,5.374739824766671,11.7323349167216
1170.0,15,3.872983346207417,4.972272914460417,9.969285942815123
1190.0,6,2.449489742783178,4.605751188341942,8.011914473346675
1210.0,7,2.6457513110645907,4.271457440574394,6.2314019642653955
1230.0,3,1.7320508075688772,3.966109976264082,4.866596112799583
1250.0,7,2.6457513110645907,3.686805756653197,3.9924474530257466
1270.0,5,2.23606797749979,3.4309717071565675,3.5576009176737613
1290.0,3,1.7320508075688772,3.1963229128411417,3.446262438007288
1310.0,3,1.7320508075688772,2.980826640940341,3.5277341963427933
1330.0,5,2.23606797749979,2.782671306170096,3.682568237203217
1350.0,8,2.8284271247461903,2.6002396394315688,3.8129794939620796
1370.0,1,1.0,2.43208543988934,3.8484253039925456
1390.0,4,2.0,2.276913389153126,3.7509017015216237
