Mgg [GeV],Nevents,sigma,hypothesis,generating_function
170.0,21798,147.64145759237138,21825.2195165071,21769.182263855884
190.0,13763,117.31581308587518,13672.93979783904,13667.202634146628
210.0,9001,94.87360012142472,8951.571523913852,8955.635445820933
230.0,6006,77.49838707999025,6076.715235653197,6078.8864508108345
250.0,4175,64.61423991660043,4252.1587307123455,4250.075995357794
270.0,3023,54.981815175565096,3053.117509261767,3047.241913270261
290.0,2267,47.61302342846965,2241.3604530359044,2232.7905462588983
310.0,1739,41.701318923986086,1677.498944119397,1667.2790457202932
330.0,1258,35.4682957019364,1276.9525072670053,1265.8978945413135
350.0,1052,32.43454948045371,986.7477690372707,975.4404111629879
370.0,727,26.962937525425527,772.7727832586747,761.6044407253834
390.0,574,23.958297101421877,612.5148173017564,601.7353655681887
410.0,476,21.817424229271428,490.787166739563,480.54551897835483
430.0,373,19.313207915827967,397.1418038106149,387.51726848157244
450.0,335,18.303005217723125,324.2621613247177,315.28810270026656
470.0,261,16.15549442140351,266.9414860087114,258.6318097042071
490.0,231,15.198684153570664,221.41972633361763,213.8622076440014
510.0,173,13.152946437965905,184.94488517277622,178.71843034235567
530.0,144,12.0,155.477779418127,152.81506728042112
550.0,144,12.0,131.49013530145945,137.4794915485438
570.0,142,11.916375287812984,111.82447468414897,132.11137675967592
590.0,153,12.36931687685298,95.59555638329451,129.01093108706286
610.0,108,10.392304845413264,82.12017262760088,117.24021756126308
630.0,103,10.14889156509222,70.86655620719569,95.0810278859436
650.0,70,8.366600265340756,61.41752171356647,71.63480820395759
670.0,58,7.615773105863909,53.44333842510189,54.70564653267593
690.0,49,7.0,46.68157462592824,44.531044181902644
710.0,39,6.244997998398398,40.92198747649764,38.067409297529736
730.0,39,6.244997998398398,35.99509990007261,33.21043775877318
750.0,26,5.0990195135927845,31.763496250783703,29.176783189383052
770.0,26,5.0990195135927845,28.115139981985756,25.72574165648985
790.0,20,4.47213595499958,24.95820728015589,22.75032221603872
810.0,20,4.47213595499958,22.217065972241365,20.175053398933095
830.0,30,5.477225575051661,19.829125931101036,17.93873182974771
850.0,21,4.58257569495584,17.7423572099399,15.9906581756171
870.0,13,3.605551275463989,15.913323122987885,14.28860265658502
890.0,11,3.3166247903554,14.30561291533406,12.797245101945627
910.0,13,3.605551275463989,12.888586341690953,11.486929744789895
930.0,7,2.6457513110645907,11.636363086855242,10.332664459753238
950.0,7,2.6457513110645907,10.527005416676856,9.313312612952965
970.0,10,3.1622776601683795,9.541854112545611,8.410937509469983
990.0,8,2.8284271247461903,8.664986599384717,7.6102683287445005
1010.0,7,2.6457513110645907,7.882772942239602,6.898263233424175
1030.0,6,2.449489742783178,7.183510583054326,6.263750552399654
1050.0,5,2.23606797749979,6.557122702465292,5.697132962895251
1070.0,5,2.23606797749979,5.994908206947722,5.190142717587674
1090.0,7,2.6457513110645907,5.489333772305164,4.735638395440348
1110.0,4,2.0,5.033860279922838,4.327435560117261
