Mgg [GeV],Nevents,sigma,hypothesis,generating_function
170.0,21588,146.92855406625358,21665.028530585005,21769.182263855884
190.0,13702,117.05554237198682,13618.06514188102,13667.202634146628
210.0,8919,94.44045743218317,8934.674910287202,8955.635445820933
230.0,6107,78.14729681825213,6072.537479075326,6078.8864508108345
250.0,4262,65.28399497579785,4251.250740877892,4250.075995357794
270.0,3080,55.49774770204643,3052.1498999532005,3047.241913270261
290.0,2209,47.0,2239.3778189617424,2232.7905462588983
310.0,1660,40.74309757492672,1674.4308976044488,1667.2790457202932
330.0,1252,35.38361202590826,1273.0178380995142,1265.8978945413135
350.0,946,30.757112998459398,982.2216306378725,975.4404111629782
370.0,828,28.77498913987632,767.9029249521205,761.6044407245673
390.0,593,24.351591323771842,607.4982433027737,601.7353655204735
410.0,472,21.72556098240043,485.77006354743816,480.54551704518565
430.0,379,19.467922333931785,392.2272303231337,387.5172142121857
450.0,347,18.627936010197157,319.5192342897109,315.2870470679505
470.0,271,16.46207763315433,262.41373726877396,258.6175817273143
490.0,206,14.352700094407323,217.1319601959708,213.72933170786695
510.0,188,13.711309200802088,180.90851965324785,177.8585812544653
530.0,162,12.727922061357855,151.6948817892022,148.95965484125225
550.0,134,11.575836902790225,127.95641083621379,125.50127486168256
570.0,117,10.816653826391969,108.53144778252255,106.32524497435084
590.0,84,9.16515138991168,92.53214269990679,90.54706427365987
610.0,87,9.327379053088816,79.27379867515094,77.48515894492478
630.0,63,7.937253933193772,68.22394612084798,66.6099069725894
650.0,52,7.211102550927978,58.96524110636601,57.50652327046477
670.0,48,6.928203230275509,51.16816214757963,49.84776369928468
690.0,43,6.557438524302,44.570727697595416,43.37366054378107
710.0,36,6.0,38.963295327998736,37.87634464331148
730.0,28,5.291502622129181,34.177074327788084,33.18858249368356
750.0,26,5.0990195135927845,30.075376305272584,29.17505096352989
770.0,35,5.916079783099616,26.546901736119835,25.72564652470056
790.0,18,4.242640687119285,23.500552556443665,22.7503185959474
810.0,28,5.291502622129181,20.861397280405853,20.175053303480862
830.0,20,4.47213595499958,18.56751280100593,17.938731828003792
850.0,15,3.872983346207417,16.567497598253173,15.990658175595023
870.0,16,4.0,14.818502475151755,14.288602656584827
890.0,19,4.358898943540674,13.284662667858019,12.797245101945625
910.0,11,3.3166247903554,11.93584307313328,11.486929744789895
930.0,9,3.0,10.746629110193934,10.332664459753238
950.0,8,2.8284271247461903,9.695511307895398,9.313312612952965
970.0,16,4.0,8.764223458485034,8.410937509469983
990.0,11,3.3166247903554,7.937203098984997,7.6102683287445005
1010.0,8,2.8284271247461903,7.201149892134758,6.898263233424175
1030.0,9,3.0,6.54466270855615,6.263750552399654
1050.0,7,2.6457513110645907,5.957940249060306,5.697132962895251
1070.0,4,2.0,5.432533178779183,5.190142717587674
1090.0,10,3.1622776601683795,4.961138187757913,4.735638395440348
1110.0,6,2.449489742783178,4.537426306741607,4.327435560117261
1130.0,5,2.23606797749979,4.15589931348243,3.9601652087052703
1150.0,6,2.449489742783178,3.811769255960352,3.62915507787563
1170.0,1,1.0,3.5008570645247583,3.3303298144960807
1190.0,5,2.23606797749979,3.219506978777883,3.060126766597693
1210.0,2,1.4142135623730951,2.964514118304448,2.8154247496656892
1230.0,3,1.7320508075688772,2.733063011002658,2.5934836242611543
1250.0,3,1.7320508075688772,2.5226752835479633,2.391892908663247
1270.0,4,2.0,2.3311650347239308,2.208527963775625
1290.0,3,1.7320508075688772,2.1566006690938258,2.041512542011824
1310.0,1,1.0,1.997272177636374,1.8891866990805428
1330.0,0,,1.8516630228980857,1.7500792368545515
1350.0,1,1.0,1.718425926342389,1.622883984205117
