Mgg [GeV],Nevents,sigma,hypothesis,generating_function
170.0,21763,147.52287958143984,21826.389226984247,21769.182848500855
190.0,13643,116.80325337934727,13620.423651184567,13667.203825701321
210.0,8875,94.20721840708386,8894.614341614977,8955.637814821806
230.0,6054,77.80745465570763,6029.087457124154,6078.891045392076
250.0,4250,65.19202405202648,4216.029470190387,4250.084688086484
270.0,3133,55.97320787662612,3027.1406542466457,3047.2579566473023
290.0,2262,47.56048780237646,2223.432308623614,2232.819430763981
310.0,1708,41.32795663954365,1665.6483890525383,1667.3297755665747
330.0,1217,34.88552708502482,1269.5716679330353,1265.9848089214975
350.0,973,31.192947920964443,982.5988422281443,975.5856722212446
370.0,740,27.202941017470888,770.929423945713,761.8412704685354
390.0,580,24.08318915758459,612.2940869464952,602.1120283482012
410.0,423,20.566963801203133,491.68985232957095,481.12990163455885
430.0,403,20.074859899884732,398.80496493954644,388.40166611858353
450.0,298,17.26267650163207,326.4230398795089,316.5928545878309
470.0,275,16.583123951777,269.4106573094764,260.4982559999573
490.0,213,14.594519519326424,224.06134559700865,216.37160343071653
510.0,192,13.856406460551018,187.6622291661701,181.47993413033268
530.0,139,11.789826122551595,158.20268326204481,153.80130817100178
550.0,117,10.816653826391969,134.17527458852302,131.81587724939098
570.0,127,11.269427669584644,114.43772032491542,114.35917055053284
590.0,105,10.246950765959598,98.11583898699968,100.51807249432869
610.0,72,8.48528137423857,84.53444760352737,89.55717542629853
630.0,76,8.717797887081348,73.16757315991066,80.86762562000034
650.0,68,8.246211251235321,63.60218302204804,73.93320097909069
670.0,72,8.48528137423857,55.51149059596344,68.30977054504412
690.0,73,8.54400374531753,48.635118387511234,63.61492104861637
710.0,62,7.874007874011811,42.76422322037136,59.52473828058786
730.0,58,7.615773105863909,37.73024728527265,55.77478789888208
750.0,53,7.280109889280518,33.39634293317909,52.16247705665303
770.0,54,7.3484692283495345,29.650786210869956,48.54833980914235
790.0,42,6.48074069840786,26.40188172834971,44.854422680528764
810.0,52,7.211102550927978,23.573994502714402,41.05879992643743
830.0,42,6.48074069840786,21.104439675660345,37.186190205882255
850.0,40,6.324555320336759,18.941029792843462,33.29550813890209
870.0,25,5.0,17.040129428892175,29.465806341667765
890.0,17,4.123105625617661,15.365103712171004,25.782341028084623
910.0,20,4.47213595499958,13.885074496301192,22.32440296377603
930.0,12,3.4641016151377544,12.573918179792413,19.156154251626873
950.0,16,4.0,11.409454364497694,16.321120914234136
970.0,8,2.8284271247461903,10.372786008852069,13.840358456150195
990.0,13,3.605551275463989,9.447760439969157,11.713766935741678
1010.0,8,2.8284271247461903,8.620527242063904,9.923675349840817
1030.0,7,2.6457513110645907,7.879174151136502,8.439677289576414
1050.0,5,2.23606797749979,7.213426035720741,7.223761832215954
1070.0,5,2.23606797749979,6.6143951111242005,6.234988390073615
1090.0,5,2.23606797749979,6.074372928998595,5.43322848336877
1110.0,2,1.4142135623730951,5.586656562036467,4.781772375048205
1130.0,5,2.23606797749979,5.145402883322415,4.248824162015812
1150.0,5,2.23606797749979,4.745506011023615,3.8080597206777416
1170.0,2,1.4142135623730951,4.382493920015582,3.4384950412853694
1190.0,1,1.0,4.052440965052684,3.1239212602187463
1210.0,3,1.7320508075688772,3.7518936555009375,2.852128310439363
1230.0,1,1.0,3.4778075006141456,2.6140834088517475
1250.0,2,1.4142135623730951,3.2274931310589996,2.4031712863562817
1270.0,2,1.4142135623730951,2.9985702157649903,2.214551618425406
1290.0,4,2.0,2.7889279479866156,2.0446509035349645
1310.0,4,2.0,2.596691082356657,1.890781752938207
1330.0,1,1.0,2.4201906748708883,1.7508700560607278
1350.0,3,1.7320508075688772,2.2579388174623514,1.623266464037177
1370.0,5,2.23606797749979,2.1086067738933987,1.5066197918566808
1390.0,3,1.7320508075688772,1.971006018744076,1.3997936236861444
1410.0,5,2.23606797749979,1.8440717600141407,1.301811807835353
1430.0,3,1.7320508075688772,1.7268485912631892,1.2118226130264689
1450.0,1,1.0,1.6184779736930595,1.1290746309152682
1470.0,0,,1.5181872940732015,1.0528999619474035
1490.0,2,1.4142135623730951,1.4252802825008082,0.9827019134349761
1510.0,0,,1.3391286059576717,0.9179455408002165
1530.0,1,1.0,1.2591644805227795,0.8581500468370986
1550.0,0,,1.1848741677816241,0.8028824612039228
1570.0,1,1.0,1.1157922401441285,0.7517522570711341
1590.0,1,1.0,1.0514965160223275,0.7044066939354633
1610.0,1,1.0,0.991603579604427,0.6605267492061822
1630.0,1,1.0,0.9357648116889923,0.619823542560414
1650.0,0,,0.8836628680395457,0.5820351811679296
1670.0,2,1.4142135623730951,0.835008550258056,0.5469239688168496
1690.0,1,1.0,0.7895380214827421,0.5142739319941358
1710.0,0,,0.7470103254806315,0.4838886232720811
1730.0,0,,0.7072051730869345,0.45558916802936694
1750.0,0,,0.6699209645743929,0.42921252515801006
1770.0,1,1.0,0.6349730205281455,0.4046099362772861
1790.0,0,,0.6021919972491971,0.3816455412660675
1810.0,0,,0.5714224656917198,0.36019514074732323
1830.0,0,,0.5425216355232202,0.34014508859132736
1850.0,1,1.0,0.5153582081388964,0.32139129960786944
1870.0,0,,0.489811344410344,0.3038383594207988
1890.0,0,,0.46576973464541294,0.2873987251012108
1910.0,0,,0.4431307597150105,0.2719920065119907
1930.0,0,,0.42179973359409395,0.25754431951531365
1950.0,0,,0.40168921869317203,0.24398770324024896
1970.0,0,,0.3827184063453016,0.2312595945209216
1990.0,0,,0.36481255568039606,0.21930235341437962
2010.0,0,,0.34790248487969866,0.2080628344069089
2030.0,1,1.0,0.33192410947235057,0.19749199853096008
2050.0,0,,0.31681802292494565,0.1875445621535639
2070.0,0,,0.3025291152940623,0.1781786786707046
2090.0,1,1.0,0.28900622616984833,0.16935564975901077
2110.0,0,,0.2762018285435158,0.16103966320360985
2130.0,0,,0.2640717405896241,0.15319755464518403
2150.0,0,,0.25257486267116674,0.1457985908757491
2170.0,0,,0.24167293715663105,0.13881427256600967
2190.0,0,,0.23133032888778501,0.13221815453146554
2210.0,0,,0.22151382435875788,0.12598568184332481
2230.0,0,,0.21219244786426839,0.12009404026670721
2250.0,0,,0.20333729305059106,0.11452201966539752
2270.0,0,,0.19492136845949848,0.10924988915180885
2290.0,0,,0.18691945579520888,0.10425928288488866
2310.0,0,,0.17930797976926013,0.0995330955292954
2330.0,0,,0.1720648884899004,0.0950553864877928
2350.0,0,,0.16516954346252657,0.09081129210685676
2370.0,0,,0.15860261835726852,0.08678694513421326
2390.0,0,,0.1523460057801082,0.08296940077738908
2410.0,0,,0.14638273135600832,0.07934656877541502
2430.0,0,,0.14069687449728546,0.07590715095228875
2450.0,0,,0.13527349528869026,0.0726405837714767
2470.0,0,,0.13009856697306774,0.06953698545621874
2490.0,0,,0.1251589135686798,0.06658710728126957
2510.0,0,,0.12044215219182748,0.06378228867846208
